Comment,Target
빰빠바바밤 빠바바밤 빠바밤 빠바밤 빰 빠바바밤 퓨슝퓨슝퓨슝,0
쓰신 내용봐서는,0
와 원주여신 이백선이다…,0
잠들기전인데 꿈에나올까봐 무섭다...,0
그대는 흐엉밖에 없다,0
우덜이 추구하는 세상이 이런거지 현존 악마들,0
건국대 음악교육과도 가주세요..!,0
근데 저기 3개월이라고 어딧음?,0
ㅎㅎ,0
4칙연산 공부중,0
돈 뿌리는거,0
머구는 가능할걸,0
누가 죽음?,0
시대를 감안하고 보는 영화가 있고 아닌 영와가 있는데,0
나이 어리고 애들이라고 모를 수 있는데 기본상식은 탑재해야되는거 아니냐? 탑신병자들임?,0
자기 주제를 알면 1번은 쳐다보지 않지 2 3번 정도가 맘에드는 사람도 있다 물론 난 1번,0
연예인 어른의 무심한듯한 케이크 선물에 찐 감동한듯 ㅠㅠ,0
젠지 3대0으로 이겨주세요 쵸비의 첫 MSI 트로피도 응원합니다,0
비타민으로 물타기를 하고앉음 비타민보단 골구로 균형잡힌게 중요한거지,0
" 당장 댓글만 봐도 김씨, 노가다, 맞는 말인데 뭐가 문제 라는 내용을 보는 게 힘든 것도 아니고",0
그냥 츄 외 남자5명이네 ㅋㅋㅋㅋ,0
포이즌이 저렇게 말할 권한이 있는지 깨닫는데 오래 걸림,0
댕댕이 표정봐라 구해달라는 표정이다 주인한태 문자 보내고 목줄 좀 풀어주고 집으로 댈고가서 주인오면 보내라 그래도 안오면 유기견 보호소로 보내고,0
" 이게  애들 가르친다는 사람이    넌 공부 못하니까  다른거 알아봐 라는 마인드가  깔려있으니..",0
메종일각이?저거 루미코 여사님 작품아님?,0
멘헤라 ㅋㅋㅋㅋ,0
가입일 얼마 안되는 빨랩은 분탕가능성이 있음,0
" 그리고 나 페도 아님 ㅡㅡ 그냥 일본엔 이런게 있다는게 충격적이고 신기해서 퍼온거임",0
Jam도 어울린다,0
보기힘든 차라 찍어서 올린겁니다,0
썸넬에서 애들이 어떻게 꼭 메이플 최신 유행 코디로 해둔 캐릭터들 처럼 이쁘니 ㅋㅋㅋㅋ,0
와 없어진게 댓삭튀 구나 ㅋㅋㅋㅋ,0
힙합씬은 어쩌면 고마워 해야할지도  ㅋㅋㅋ  생태계교란종 등장으로 말랑말랑한 힙한씬 딱딱하게 세워주고있으니 ㅋㅋㅋㅋㅋㅋㅋ 응원한다 케이셉 포이즌ㅋㅋㅋ,0
finally something related to my majors,0
알리바바 40명중에 방시혁은 왜없나요?,0
솔직히 케이셉이 다했긴 했다,0
일부 무식한 사람들의 무례까지도 예술로 승화시킨 너덜트 폼 미쳤다,0
누군가에는 첫사랑이엿을수도 ㅋㅋㅋ,0
얘들아 응원한다 언제나 너희 편이야,0
와 !,0
와 마지막에 쳐다보는거 소름이다.  너덜트는 천재야,0
사탄: 너를 나의 후계자로 지명했다,0
위 2는 ㄹㅇ,0
수능은 94년 실시 이후 항상 백분위와 등급을 같이 표기했습니다.,0
우리 학교 학식이 너무 별로라 기내식으로ㅠㅠㅠㅠ 아이고ㅠ,0
마음은 심란할텐데 애써 웃어보이는 뉴진스멤버들 너무 이쁘고 짠하고 대견한 모습에 자동으로 눈물이 나네요ㅠㅠ 뉴진스 화이팅 !!! 할명수 건강하세요 ㅎㅎㅎㅎ,0
송관호 조교 너무 잘생겼네욬,0
" 개나소나 공무원할꺼라는 ",0
왜 여자들이 경찰에 신고 안할까? 라는 생각들만큼,0
노잼됐네. 건너뛰기하다보니 끝나있네,0
지금 눌렀어요 꼭 가주세요,0
아니 근데 성인이 됐으면 아가도 아니고 알려줘야할 의무가 있는게 아니잖아 개인의 선의로 알려주고 이끌어주는거지 그게 당연하다는듯이 말하는것도...ㅋㅋㅋㅋ 애초에 남남인데 선의가 반복되면 당연한건줄 안다는게 딱 맞는거 같음,0
염색체들 소리질러~~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개킹받는당ㅋㅋㅋㅋㅋ,0
마크야 ㆍㆍ 이런걸 하는 마크야 너무 귀여워요 오웅 애옹,0
매크로 방지하는거잇지않냐 그 신호등이나 횡단보도 구별하기 그런것도 뜷리나,0
"니 말대로 무작정 은행 대출이 있다고 ",0
"내가 볼때 40 초반까지는 직장 + 외모 맞고, 40중반 넘어야 슬슬 외모 이런거보다 건강 + 돈이지. 돈 없으면 아프지도 못한다.",0
근데 결국 큰틀에서 못벗어난다,0
머지???  일성 정일 정은 부자 머라할게 아닌거 같은데??,0
정부도 대구시에 돈주지 마라,0
기존 3명이 주체적으로 끄는게 아니라 새로 뽑은 배우분들 얼굴도장찍으면서 각자 주인공으로 역량보여줄 수 있게 기획한게 진짜 지린다,0
AESPA JJANG,0
ㅋㅋㅋㅋㅋㅋㅋ 진중권 진짜 드립력이 고급지다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진중권 수업 청강해보고싶음 ㅋㅋㅋㅋ,0
아 휴가 나온 공군인데 공군 와주십시오!,0
마크 츄 연기 잘한다 ㅋㅋㅋㅋ엠씨 같아해도 될 듯,0
국힙원탑은 맨스티어라고 케이쌥~~,0
츄 연기 잘해,0
노건즈 라이프 ㅇㅂ,0
나라가 적극적으로 관리해도 국민이 돈이 있어야 수요가 있지 소득수준은 10년전이랑 크게달라진것도 없잖아,0
" 중대 입결표 뒤져봐~ 이러고",0
gorgeous gorgeous girls.,0
업체이름 이니셜좀,0
blg응원한 타팀팬이면 추천!,0
도태남,0
수틀리면 맞짱 깔라고 했는데 견적보고 질거같아서 아무것도 못한 포이즌이면 개추 ㅋㅋ,0
"뭐 나쁘지 않네요.. ",0
ㅎㅇ,0
합격하신 분들 축하드려요ㅋㅋㅋㅋ,0
헤헤 19일날 창섭이 시구하러 온당 계탓당~영광영광~~~~,0
동물적직감이란게 있는거 같음,0
aespa best,0
"기본에 충실하면 ",0
레디 주입식 간지 아니엿나,0
혜인이 얼른 나아 보고 시프다,0
마크 보러 왔어요,0
닝닝 진자 개이쁨 헤어도 ㅠㅜㅜㅜ,0
" 12억 이상도 가능하겠네",0
ㅗㅏㅗㅏㅗㅔ~,0
와...아이디어 좋다...,0
ㅇㅇ 절대 할게못됨 하고나서 허공에 잔상보임,0
요즘 진짜 신기하고 처음들어보는 학과 가줘서 전과자가 더 재밌어짐.....처음에 나풀거리면서 등장하는거 핵귀엽네 ㅋㅋㅋ 공군가기전 예비 체험으로 드론학과 갔대요...ㅋㅋㅋㅋㅋㅋ 공군 후보생 모집 보니까 곧 너의 미래라고 하는 피디님 너무 귀여우세요 ㅋㅋㅋ매일 목요일만 기다려짐 진짜 전과자 없어지면 나 울거야,0
서울에서 접근성 ㅅㅌㅊ . 서울랜드 사람 많을 때는 바로 옆 복돌이 랜드로—,0
시혁이가 그니까 이거 하고싶어서 르세라핌 쎈컨샙으로 잡았단 거잖아 ㅋㅋㅋㅋ ㅈ도 못따라가니까 밟을 수 있냐고 ㅋㅋㅋㅋ,0
방시혁이 홍보해준 에스파 ㄷㄷㄷ 실력 비주얼 노래 삼박자 최고다,0
진짜 실력도... 비주얼도...짱스파답다...️다 밟아버릴 이게 에스파야,0
저는 하울의움직이는성 좋아하는데 다른것도 만드시나요,0
영상 진짜 잘만드셨다 ㅋㅋㅋㅋㅋㅋㅋ,0
아무리 바짝 땡긴다해도 허리인데...,0
코로나를 이긴 만우절 ㅋㅋ,0
이쁘다 뉴진스ㅠㅠ 응원해주는 사람들 많으니까 힘내라ㅜ애기들아!!!!!,0
나도 그렇게 알고있었는대,0
베들베들,0
ㄹㅇ 점심때 불고기먹고 트림하면 후욱올라옴.,0
잘생긴 양복 입은 아저씨 억울하고 답답한 연기 잘하셔서 너무 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
노예 ㅇㅂ,0
T1미드가 쵸비였으면 lck msi 롤드컵 전승우승임,0
나도 따라서 ㅁㅈㅎ,0
일단 DNA인가 등장하자마자 내가 부끄럽고 면목 없어서 잠시 영상 멈췄다 심호흡하고 다시 재생함 ..,0
마크귀엽,0
블레이드러너에서 일본여성이 기모노입고 대형 광고판에 등장히는 장면 진짜 유명하지 ㅎㅎ저기도 있네 일본 성장에 대한 두려움을 상징한 장면지금은 폭망했지만,0
근데 저말듣고 대학포기하고 용접배워 호주가면 현실적으로 인생 발전하는건 사실이지,0
하던데로 구라 구라 구라,0
석열이 주위 한씨가 더 부각되야됨~,0
응ㅋ나있다,0
뭔가 다시 데뷔 초 느낌도 나는 것 같다ㅎ 에스파 밟으실 수수수수퍼노바,0
알리바바 40인팀 무대가 너무 궁금해요,0
아잰데 모름,0
욕나오게 좋음.. 미치게 좋음..,0
얘들아 너무 귀엽다 진짜ㅠㅠㅠㅠㅠㅠ 다들 너무 예쁜건 당연하고.. 혜인이 잠깐 전화로 나왔는데도 예능감 존재감 장난아님 귀여워ㅠㅠㅠㅠㅠ 너무 무해하고 순수하다......,0
디자인 보시고 특허를  다 무시해버리니 내수에선 저렇게 저렴한 가격에 나올 수 있나보네요.  다른 분들 말처럼 미래가 걱정됩니다 ㅠㅠ,0
진짜..서울에..미사일한방만....,0
아 개웃기네,0
너무착해져서 개가 자원봉사다니더라,0
마크x숏박스 조합 어떻게 안 사랑하는데…️ 마크 역시 너무 잘하고 츄님도 너무 귀여워요,0
위조된 신분으로 학교를 들어가다니,0
" 어느 나라에서 유래했는지",0
내가 볼땐 진심 담긴 사과라기보단 예쁘게 찍히려고 카메라 의식하는거 같노,0
창섭님 위트있고 순발력좋고 재미있게 잘 보고 있어요 ^^,0
재들도 조선에게 보고 배운거여  전에은 저런거 없었지,0
조중동의 아류들,0
꺼억이나 린가드한테 나가는 주급이 아깝지 이런건 안아깝지 굿굿,0
조별 회의때 후드입고있는애 잘생겼네,0
라이브 ar임  르세라핌 싫어랍니다 에스파팬임 그냥 오해하는 사람이 많길래,0
42다ㅋㅋㅋㅋㅋㅋㅋㅋ 우연치곤 넘 젖절한데요ㅋㅋㅋㅋㅋ,0
일본 사람입네까?ㅋㅋㅋ,0
유재석도강동원도 너무 좋다 ... 조합 미쳤다...,0
이창섭 얼굴만봐도 그냥 재밌다,0
ㅋㅋㅋ잘만들었다,0
섭아 이제 4만 남았다^^,0
모하비는 너무 할배분위기,0
ㅇㅇ레알로 김치유행함ㅋㅋ,0
뽀득뽀득 guy ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
뉴진스 응원합니다 이시대의 진정한 걸그룹 하이브라는 똥통안에서 유일한 탑가수,0
" 이게 진실임",0
이사진은 선거끝날때까지 계속올려주시기바랍니다,0
저 응원법을 벌써 저렇게나 빨리 외우시다니.. 분발하겠습니다!,0
래미안이라고,0
AESPA NEVER DISSAPOINTED,0
저런 프로에 뭐하러 출연하는거냐   출연료 몇 억 주는것도 아닐테고  저렇게 자기 인생을 다 까발리는게 무슨 득이 있어,0
최소형량 무기,0
0명모집이 원래는 숫자 0이 아니라 숨김표 기호 ○를 의미하는거임. 그걸 간단하게 숫자0써서 표현하는거고  그리고 이 의미는 아직 확정되지않거나 비밀에 부쳐야할 사항이기에 0만 써서 1의자리 숫자 인원을 채용하겠다는 뜻임  기업 채용공고 올라온거 보면 숫자 0이 아니라 ○으로 표현 돼 있는 경우가 많음ㅋㅋ,0
뉴진스도 의리있고 명수옹도 의리있고 !!!  내가 정말 좋아하는 사람들인 명수랑 토깽이들 사랑해,0
뉴진스 나온 거 보니까 뭔가 마음이 뭉클하다 ㅠ  그동안 얼마나 마음 고생이 많았을까?  하이브의 공주인 줄 알았는데 콩쥐였다니.. ㅠ 더 잘 됐음 좋겠어,0
바로옆에 장실이노 ㅋㅋ,0
솔직히 뷰너가 영상을 너무잘뽑는다ㅋㅋㅋㅋ랩도 잘하지만 진짜 성공하는 이유가 있네,0
280원 ㅇㅂ,0
드디어 기다리고 기다리던 항공대 썸네일은 기내식인건가?ㅋㅋㅋ,0
또하나의 레전드 작품 하나 만드셨구나...짝짝짝~  현시대 커뮤니티를 그대로 재현 하셨어..,0
수리능력은 생각보다 많은 전 영역에서 쓰이지,0
맨스티어도 갱센스도 다 멋있다 맨스티어는 잼있어서 너무 좋고 갱센스는 가끔 실수는 하지만 실력하나로 모든덜 덮어버려서 좋다,0
쿠로미 문신 힙합 정병녀 ㅋㅋㅋㅋ 포이즌이 그냥 뺏자,0
막내 j 환은 어디갓음?,0
이번에 금리 오르면 줄줄이 한강 가겠구만 ㅋㅋ 곡소리 좀 나겠네 한국인들,0
취업난 시대에 선관위 아빠찬스 취업 모르고 있어서 조용한건가 MZ...,0
대구 ㅁㅈㅎ,0
하 드디어 왔다 내 힐링 타임,0
밝은 회색이 유행이라던데,0
아니 어쩜 이렇게 아기들 같이 맑고 귀여운데 무대에서는 그렇게 멋있을까.. 하고 싶은 거 다해 뉴진스!,0
"@청풍호지기 ",0
드론 공학과가 있는건 처음 알았네요ㅋㅋㅋ 오늘도 꿀잼 ㅎㅎ 마침 딥러닝 공부하던 CNN 나와서 반가웠다는,0
합격하신 분들 축하 드립니다,0
츄 엄청 귀엽다,0
오를때 사야 그게 싼거였지,0
이참에 그냥음원까지낼꺼가타요,0
왜케 비뚤어졌냐?,0
신천지!! 광주가 최대규모 최다 피해자!!,0
동물들하고 지내다보니 동물인지 사람인지 가끔 헷갈립니다.,0
홍위병들 당할수가 없어,0
5년만 존버하면 1억찍노 ㅋㅋ,0
얼마안가 자살당하시는거 아니냐,0
케이셉 저런 미친놈을 어떻게 여친 사귀었누,0
우울해서 웃으려고 틀었는데 더 우울해지노 ㅡㅡ,0
링크줘봐,0
정작 나는 물사러가기귀찮아서 브리타정수기 내려먹음,0
Get well soon Winter,0
"보나마나 전라도 ",0
TK와 PK는 같은 경상도지만 좀 다릅디다.,0
나는 항상 이 노래를 항상 듣는다.,0
볼수록 명수옹이 게스트 편하게 방송할수있게 진행 넘 잘해주시네요 ㅎㅎ,0
계란초밥부터 먹는거 왜케 귀여워 창섭아,0
니말이 맞다 ㅋㅋ,0
하트랑 크로버 그려진거는 뭐냐,0
영상 보면서 개빡친다는건 배우 분들이 연기를 잘하셨다는 것. 고생하셨습니다. 잘 봤어용,0
나때는 스카이 내지 포항공대 ..진짜 드물게 서강대 까지만 학원 선생 가능 했는데세상에..중앙대 출신이라니,0
"80 년대 일본 전성기에 일하면서 쌓아온 자산 ( 딴짓 안했다면 ) 을 꾸준히 저축 했다면 ",0
흐음...,0
진세 배꼽 개빡치네!!!!,0
"21세기를 사는인간들이 어찌이리도 미개할수가 있단말인가조선이나 대한민국이나 바뀐게 없네 ",0
얼마나 학식이 맛 없으면 걍 초밥 배달을 먹냐 ㅋㅋ,0
머야 먼소리냐,0
베트남 따위가 차세대 성장동력도 없는데중진국까진 기적적으로 도달한다 해도그 이후는 뭘로 견인해나갈건데주력산업이 농사밖에 없는놈들이,0
반대한 놈은 극복하지 말라는 소리죠?,0
" 견찰이 수사 종결해버릴 권리가 있다.",0
Super pretty group <3 but also TALENTED,0
이번 편 개웃기넼ㅋㅋㅋㅋㅋㅋ,0
영점타격 ㅇㅂ,0
오늘밤 너 죽여놓는데  개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋ,0
전설의 딸카게 사건,0
개새끼 창서비형 사랑해,0
" 이 경황을 보자 그 자리에 있던 조선인 전부가 폭행의 태도를 드러내어 그 일부는 나무편이나 걸상 등으로 반항하여 왔기 때문에, 즉시 나와 병졸에게 사격을 명하여 거의 대부분을 사살하는 데에 이르렀다. 이 혼란 중에 서측의 가까운 집에서 불을 발생시켜, 폭풍으로 인하여 즉시 교회당에 옮겨붙어 드디어 20여가구가 소실되었다..후략...""",0
그래서! 저분들이 모집된 배우들이라는거죠? 앞으로 배우분들 연기 기대하겠습니당! 너덜트의 새얼굴이 되신걸 축하드려요~~,0
"저거 존나 비싸던데 어떤 중딩이 입고왔길래 얼마냐고 물어보니까 70장 줬다고하드라 ㄷㄷㄷㄷㄷ;;; ",0
뭐야이건,0
복싱에서 발쓰냐?,0
워메....ㅆㅣ이벌..,0
"ㅋㅋㅋ 저 표정 손모양. ",0
떠나고 나면 후회와 아쉬움 그리고 공허함만이 남음..,0
조작,0
근데 이런 상황인거 이국종도 알고있던데본인 책 보니까,0
너무 많이해서 그런가 개새끼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
강남 같은 교육인프라  공공이든 사설이든 교육시설 인적인프라 공약과  도로확충? 이거는 말그대로 개발을 통한 부동산 상승 집값 올려주겠다는    딱  지수준  같은 얍삽한 공약이군  교육이 먼저냐  아님 자신들 재산 불려줄 나경원이냐?,0
뭐 찾아보려고 검색하려고 노력 안 하는건 어른들도 마찬가지임. 스마트폰 몇년을 쓰면서 자동회전 알려줘도 하는법도 모르는 어른들 엄청 많음. 후드집업 옷입은 사람말고도 저 아저씨도 문제임,0
원훈님 메이포 음지님이랑 콜라보해주세요^^~,0
창의력 대장이노,0
"우리는 ....  더 한 것들이 있어서 ",0
"강사면 강사 답게 우선 5등급 목표로 하고 올려라 천천히 목표를 높여라 해야 강사다 강사가 왜 강사겠냐 ",0
그래서 내가 ㅇㅂ줌,0
Giselle looks like anime girls,0
"누가 따라다니면서, 교통법규위반 계속 신고할듯.",0
피파 회장도 보냈잖아.,0
새바지들아 힘내라 삼촌이 응원한다,0
맠냥이 너무 귀여웡!!!!,0
홍성 핑크당 만뽑아주는동네,0
빌런vs빌런,0
뭘 해명을 해~~요새 애들 무식한건데. 동의함,0
아ㅋㅌㅋㅋㅋ,0
와 진짜 대박이닼ㅋㅋㅋㅋㅋㅋㅋ매번 레전드 갱신하네,0
NINGNINGGGGGGGGGG,0
"역시 이번 대통령은 촛불의 힘, 촛불의 가치를 제대로 실현시켜주는군요",0
밑에 뭐라고 쓴거냐옵빠이X라세떼 구다사이,0
팩트) 저런 이목구비는 긁지 않은 복권이다,0
afpk는 따기 어렵지 않아서 많이들 갖고 있다. cfp는 갖고 있는 사람이 별로 없고,0
명수옹 뉴진스 둘다 개큰호감,0
ning ning so  pretty,0
그래서 지금 돈 벌고 있고 이번년도에 원서 넣어볼까 싶어서,0
" 주로 은행쪽 전문인데 은행이 줄어들고 있어서 일감 많이 떨어짐.",0
약 ㅇㅇ 문페이스 보이노? ㅋ 내장비대증에,0
검정 롱패딩보단 보기좋네,0
사람을 얼굴로 평ㄱ,0
소갈비이이이이이잇!,0
국가의 미래가 불투명한 상황에서 유신선포하고 자주국방에 총력,0
" 불합리한 공공의료정책은 니 뜻에 동조하는 의사들을 모아서 캠페인을 벌이든가 시민을 설득하고",0
국밥 아줌마는 많이 하는거 알고 있었고..(과거 개쭈글),0
"그건 옛날 얘기고 요즘은 여자들도 suv좋아함 ",0
언더아머 르까프급이었던걸 이렇게까지 만들어줬는데 쥐뿔만큼주노,0
역시 sm은 실망시키지 않음ㅋㅋㅋㅋ 컨셉+외모+실력+노래 다 좋음,0
나 시골사는데 시골이 공기더좋은거 맞는데 ㅋ,0
"박보검 vs 서강준 ",0
