Comment,Target
등검은말벌은 우리나라 생태계교란종으로 지정되서 저렇게 잡았으면 무조건 죽여야함 절대 다시 풀어주면 안됨 법으로 지정되어 있는데 불쌍하니 뭐니 뭐? 생물을 죽일 수 있는 건 아무도 없다고? 니들이 살고 있는 건물도 다 생태계 파괴하고 만든 건데 밖에 움집을 짓고 사는게 어떨까?,0
유튜브 알고리즘은 날 수상한곳으로 불렀다,0
이야 간만에 본다 처음 접했던 픙님 영상... 이때는 천명단위로 보고있었던거같은데 벌써 많은 사람들이 영상을 찾아보게되었어요!,0
우리 꿀벌들의 복수를 해주시다니..감사합니다..,0
이 영상이 300만회였던게 엊그제 같은데 벌써 1000만이네요! 프응님 축하드려요! 초창기 영상이면서 가장 의미있던 영상!,0
이거 잔인하다고 하는 건 마치 우리 아이 물려고 달려드는 모기들을 죽이려고 에프킬라 뿌리는 걸 잔인하다고 하는 느낌인 걸까?,0
내가 제일 놀란점  이 사람 반팔임.. 난 롱패딩 3개는 입고 헬멧쓰고 고무장갑위에 장갑 3겹은 더 낄듯,0
꿀벌을 지켜주셔서 고맙습니다,0
와 1000만 역시 사람들도 이유를 알수없는 카타르시스를 느낀거야...,0
난 저일을 반팔입고 한다는게 가장 신기하다 ㄷㄷ,0
말벌 300마리 죽인것은 꿀벌 300만 마리를 살린것입니다. 잘하셨습니다.,0
와 오랜만에 보는데 천만 넘었네요. 축하드립니다!,0
입시중에 이렇게 시원한 영상도 없는것 같습니다  속이 다 시원하네요,0
헤으응,0
개인적으로 벌레 굉장히 싫어하고 벌도 그중하나여서 봄되면 꽃근처에 날아다니는 벌보고 으아아악 이러면서 피했는데 이영상 본후로는 아얘넨 꿀벌이구나..꿀모으느라 수고가 많네´ㅅ｀이러고 걍 감ㅋㅋ 심지어 귀여워보이더라,0
정말 마음이 뜨거워지는 영상이네요️,0
양봉업자가 말벌 조지는 건 농사꾼들이 잡초뽑는 거랑 비슷한건가,0
최근 올라온 말벌 태우는 영상보고 다시 보러왔으면  이땐 진짜 풋풋한 느낌이다,0
토치 진짜 현명하다ㅋㅋㅋ 꿀벌들이 말벌 조지는 유일한 방법이 떼로 몰려들어서 쪄죽이는거라던데,0
한마리도 놓치지말고 멸해주세요! 몇마리 놓치는 모습 가슴아파요ㅠㅠ,0
노력을 많이하고 계십니다.좋은결과와 양봉번창 하시기바랍니다.,0
불이 화려하게 안보인다고 생각하신분들 있으실텐데 그게 바로 가스가 너무 빠른속도로 분사되어 산소가 반응해 불꽃이 나타나지 않았기 때문입니다 오히려 분사력이 너무 강한 토치라서 불꽃이 더 나오지 않은것 같네요,0
말벌은 없어져야해요  우리 아버지도 양봉하시는데 말벌 때문에 괴로워 하시는 걸 많이 봤어요 .. 고생이 많으시네요 !! 화이팅,0
이 영상을 젤 첨 봤었는데ㅎㅎ 픙님 첫영상이였군요,0
어릴때 말벌한테 관자놀이쪽에 침 쏘였는데 지금까지 죽지않고 기적적으로 살았지만 삼차신경통이라는 후유증으로 평생 얼굴에 불타는듯한 고통을 느끼며 살아가고 있는데  말벌 너네들도 불로 지지는 고통 느껴봐라 정말 통쾌하네요!,0
우리 사람이 죽으면 화장하는 것 처럼 말벌들은 생으로 화장시키는 프응님 존경스럽습니다.,0
가끔 한번씩 회사 퇴사 마려울때 마다 이영상 봅니다.... 사람을 토치로는 못태우니... 말벌이라도,0
벌 소리나면 크기가 조금만 커도 말벌이라 생각하시겠지만 벌한테서 드론소리가 난다! 그럼 그게 찐 말벌입니다 ㅋㅋ 조심하세요,0
어제 모르고 말법집 밑을 지나가다 정수리에 물려서 짜증났었는데(주먹으로 맞은줄) 시원하게 구워주셔서 감사합니다. 9월이 말벌의 번식기라 가장 위험하다더군요. 산에갈때 소독제와 항히스타민제 상비해서 갈까합니다. 이제.,0
2년전에 아무생각없이봤던 이 영상이 대 프응제국의 시작이었다는것이 정말 영광이군요,0
우리 이모부가 말벌에 돌아가셨지요...  왠만하면 모든 생명체는 귀하다 하겠는데 말벌은 진짜 신이 왜 창조하셨는지 진짜 모르겠는 것 중 하나...,0
천만 축하드려요!!,0
우리집 지붕속에 말벌집 지어서 토치는못쓰고 에프킬라 쏴대니 한20마리정도 툭툭 떨어지던데. 그때도 엄청 심장 쫄깃한데 말벌과 사투하는 모습 감동적입니다.,0
천만뷰 넘으셨군요 축하드립니다,0
저희 할아버지가 말벌에 쏘여 얼마전에 돌아가셨는데요.. 이영상으로 그나마 한을 풀 수 있겠네요ㅠㅠ 말벌은 진짜 사람 꿀벌 등 종족 가리지 않고 피해를 주는 아주 더러운 해충입니다 부디 더 고통스럽개 죽여주세요..!,0
ㅋㅋㅋ얼마나 화가 났으면 꿀벌집 바로 옆에다가 트랩을 설치해서 300마리를 모았을까요ㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠㅠㅠㅠㅠ 저거 안했으면 꿀벌 다 죽었겠네요,0
속이 다 후련합니다.,0
이것이 전설의 시작입니까 프응센세....,0
??보시다시피 냄새가 엄청납니다 그걸 어떻게 알아욬ㅋㅋㅋㅋㅋㅋㅋ,0
진짜 진지하게 한번 부탁 드리는 건데 제발 모기새뀌들좀 조져주실수 있습니까 제발 부탁드립니다,0
마음이 따뜻해지는 영상이네요,0
좋은 영상 올려주셔서 감사합니다!  앞으로도 말벌퇴치 영상 계속 올려주시면 감사하겠습니다,0
아따 대리만족 쾌감 오지고ㅋㅋㅋ가끔 날아드는거 모자로 때리고 밟긴 하는데 이건 뭐ㅋㅋ 날개부터 슬슬 오그라들어서 기어다니다가 어느순간 기어다니지도 못함ㅋㅋㅋㅋ 꼬신내가 절정에 달할때쯤 프라이드 호넷 완성!,0
이 형 첫영상은 완전 차분했네,0
말벌에 쏘여서 지금 알레르기 때문에 고생중입니다. 엄청나게 대리만족 하고 갑니다 감사합니다,0
장수말벌 3마리만 와도 벌집 하나는 점멸임 근데 저정도 양은 단단히 마음먹고 양봉사업 조질 려는거임,0
교감하던 호박벌이 죽어서 슬퍼하는 영상 봤는데 추천영상으로 이게 뜨네...  사탄의 알고리즘 실화냐,0
미안한 마음 가지지 않고 죽이는 세개가 있는데  바로 1. 모기 2. 바퀴벌레 3. 말벌 입니다. 싹 조져주세요~~~~,0
오늘거 보고 다시 옴 ㅋㅋ,0
2년 지난 영상인데 속이 시원합니다,0
예전에 벌에 관한 다큐 봤는데 진짜 말벌이 꿀벌 엄청 잔인하게 죽임 ㅠㅠ 꿀벌들 새끼 지키려고 죽을거 알면서도 막 달려드는데 가차없이 죽이고 꿀벌새끼들 다 잡아 먹음 ㅠㅠㅠㅠ 너무 불쌍 ㅠㅠㅠ,0
말벌 한마리도 무서운데 몇마리 날라다니는건 신경도 안쓰시는게 정말 대단해 보입니다,0
전설의 시작,0
양봉업자에게 말벌은 우리에게 모기보다 더한존재입니다.,0
도르트문트는 이 은혜를 잊지 않을 것입니다,0
너무 재밌을거같아서 토치로 조지는 부분 숨죽이고 집중해서 보는데 가슴이 두근거립니다,0
수능 37일 남으니까 별개다 재밌네,0
벌은 위로 올라간다는 습성! 잘배우고 갑니다. 밑으로는 안간다니 새로운 지식을 얻고 갑니다.,0
오늘 영상보고 안냐심까.. 부산에서 양봉하고있는 양봉업잠다..하고 찐따같이(프응 본인피셜) 말하는 프응 보러왔으면 개추ㅋㅋㅋ,0
아주 잘했네요 기발한 물건입니다  자식같은 꿀벌을 그렇게 잔인하게 죽이는데 가만히 있을 부모가 어디있습니까? 여러분이 키우는 애완동물을 커다란 개가  잔인하게 머리를 댕강 잘라 먹는다고 생각해보세요 눈에서 불이 나오고 가만히 안 두겠죠 말벌은 하등 가치가 없는 유해한 곤충입니다,0
연말연시 마음이 따뜻해지는 훈훈한 영상이네요^^,0
좋은 일 해 주셔서 감사합니다,0
썸네일에 벌이 갇혀있다 제목을 읽어본다 토치라는 단어가 보인다 바로 누른다,0
잔인하다는 사람들 꼭 나중에 말벌한테 쏘여서 응급실 실려간담에 전괜찮아요 말벌상태는 어때요?ㅜㅜㅜ 하고 뒤져라,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말벌잡기 고인물 된 프응 영상 보다가 애깅깅 프응 영상 보니까 엄청 귀엽네 ㅋㅋㅋ,0
저런거 교실에 한마리만 들어와도 다들 난리법석을 피우는데 300마리라니...아무리 양봉업자라도 위험을 감수하고 하는건데 정말 대단하시네요,0
옛날에 이유없이 쫓아오던 말벌에 대한 원한이 시원하게 풀리네요 좋은영상입니다.,0
갑자기 이영상이 왜 알고리즘에 떴는지 모르겠으나 재밌다..... 되게 덤덤한 목소리ㅋㅋ,0
This was actually really helpful video !!,0
토치는 아무래도 시각적효과가 심심한데 에프킬라 화염방사기로 조져주시면 안될까요,0
나는 자연인이다 에서 파리채 잠자리채들고 말벌 잡던 말벌아저씨가 생각나는건 나뿐임?,0
2년전에보고 또보네...ㅋㅋㅋㅋ재밋겟다...한번더하시죠,0
이 영상이 지금의 프응을 만든 전설의 영상이군..,0
말벌같이 배신하는놈들 다 죽였다..,0
후 오늘 영상 보기 전에 복습하러 왔다,0
3년 전.. 벌초하다가 장수말벌에 세 방 쏘이고 눈물 찔끔했던 저의 복수를 해주어서 고맙습니다,0
말벌이 꿀벌 한통 정도는 작살낼수 있고 우리 주변에 꿀벌이 사라지면 재앙수준이 됨.,0
꿀벌왕국에 침입한 말벌과 싸우는 꿀벌들을 보고나면 이 영상을 웃으면서 볼 수 있게 됩니다.,0
오 신선하다~재밌네요~리얼 현장 네츄럴 good good!,0
저도 예전에  회사 처마밑에   핸드볼 공만하게 집지어논거  애프킬라 화염방사기로   그슬렸던 기억이 나는군요...ㅎㅎ 제 속이 다 후련합니다....양봉업 번창 하시길 바랍니다....^^,0
말벌 한 마리만 있어도 꿀벌집 한통 개작살 냄. 그냥 해충임,0
전설의 시작......,0
아니 다들 보호장비 안끼고 한다고 놀라는데 프응님 독면역 있음;;,0
오늘 스트레스 받아서 보러왔습니다,0
장수말벌 퇴치영상은 언제나 짜릿해!!,0
스트레스 쌓일때마다 보러옵니다,0
손흥민영상 보다가 알고리즘에 의해 들어왔네 역시 유튜브도 인정한 양봉업자 손흥민!,0
힐링 방송이네요 말벌은 잘 죽지도않아요 단백질 가득이겠네요,0
말벌도 생명이라는 사람 1% 좋은일이라는사람 70% 꿀잼이라는사람 29%,0
자연 속 화염 실험영상 재밌네요 ~ 배틀크루저 말벌 잡으려고 했었는데 바퀴벌레 약을 아무리 뿌려도 안죽어서 신기했었는데 ㅋㅋ 나중에 에프킬라 화이어뱃 형태로 죽이는 것도 부탁합니다,0
대단하시네요. 촬영중 손에 붙은 말벌 무심한듯 단숨에 잡아 쳐내는 것. 저는 그게 더 존경.,0
보기만 해도 너무 시원한 영상이네요. 항상 재밌는 영상 잘 보고 있습니다. 이런 컨텐츠는 어떻게 기획하시는지 정말 대단합니다. 언제나 응원하고 있습니다. 화이팅하세요!!,0
꿀벌이 진짜 자연 생태계에서 중요한 역할을 한다고 하더라구요.. 말벌도 생명이긴 하지만 해충이라고 생각합니다.,0
아~ 컨텐츠 너무 좋다~,0
보호장비없이 저렇게 한다는게 너무 신기해.....,0
말벌도 생명인데 불쌍하다고 하는 인간들아....너희 모기도 죽이잖아......,0
말벌을 향한 뜨거운 사랑이 느껴집니다.,0
1200만회 축하드립니다,0
말벌에 쏘여 죽는 사람도 있고  벌통 하나 아작 내는건 일도 아니라는데 불쌍하다느니 자연의 섭리를 거스른다느니 하는분은 집에 말벌 들어와서 집짓고 살아도 같이 공생할 분들인가요??,0
대리만족 영상으로 최고네요 ㅎㅎ,0
이번 추석에 시골 가보니 말벌이 많더라고요. 근데 저 트랩은 만든겁니까? 아니면 어디 시장에서 산겁니까?,0
분야전문가는 다르네요.. 고무장갑에 팔은 걷어서 맨살도 보이고.. 신발은 아쿠아슈즈.. 대단합니다..저는 완전무장해도 무서울듯 한데,0
1000만 축하해용,0
와 3년전 프응님에 영상 자막이 없어도 재밌군,0
첫 영상부터 레전드를 찍는 프응님,0
왠지 전문가의 포스가 느껴지는 말벌은 위로 올라가는 습성 멘트..,0
팔에 맨살보이는 것 같은데 안전한거 맞죠? 괜히 내가 더 무섭네;;,0
와 첫영상인데 인기가 제일 많네,0
아니 산채로 태워죽이다니.. 너무 잔인하고 매우 좋네요 이런 영상 많이 올려 주세여 굿,0
말벌때문에 우리나라 양봉장 아니면 자연 꿀벌들을 보기가 힘들다네요 저 쉐잌이들 개체수 조절해야 하는거 맞음.,0
진짜 잔인하시다... 어떻게 말벌도 생명인데 저러는거보면 진짜 속이 다 시원합니다 이런거 너무 재밌고요 서 썅놈새끼들은 모기하고 몸통 하나하나씩 분해하고 싶은데 저렇게 많은 말벌을 죽인거는 평화상 받아야합니다 앞으로 유튭생활 순탄하시길 빕니다,0
아 이게 그 첫영상이군요,0
내가 이걸 지금 왜보고 있는지 모르겠는데 시원하게 보고 갑니다,0
몇마리 날라간거같아서 굉장히 불편;;,0
이젠 전설이 된 영상,0
대단하십니다 응원합니다,0
꼬꼬마친구들 지구에 도움을주고 인간한테 도움을주는 벌은 꿀벌이에요^^ 말벌은 꿀벌들 다죽이고 사람도 죽이고다닙니다 개같이 지져죽여야 하는 친구랍니다 그러니까 불쌍해 하지 마세여^^,0
아니 왜내가 이걸보고있을까. 진짜궁금하다,0
흑동말벌의 범위가 넓어지면 토종말벌도 개체 수 감소로 위기종이 될 수도 있는건가요?,0
전설의 시작....,0
이게 전설의 시작,0
아니 인간은 무슨 외계인임? 그놈의 자연의 섭리ㅋㅋ 인간이 개입하는 것도 자연의 섭리지 인간은 뭐 NPC여?,0
저걸로 술담그지 않고 바로 다 조져버리는 모습에서 꿀벌에 대한 애정과 복수심을 느낄 수 있었다,0
본격 사이다방송....그나저나 저 흑종말벌 완전 이기적이네...장수말벌은 멍청하고 동료애때문에 한마리들어면 다들온대 ㅋㅋㅋ 게다가 저 트랩도 대박인듯요 ㅎㄷㄷ...,0
말벌들에게는 학살자이지만 일반 꿀벌들에게는 영웅이다,0
요새 왜 말벌 학살 영상이 안올라오나용..기다리는 중 zzzㅋㅋㅋ,0
26년전 중학교1학년 추석때 시골에 가서 할머니 일 도와주다가 말벌에 쏘여 죽을 고비 넘긴 40대 아저씨에요 지금도 꿀벌소리 윙소리만 들어도 순간 움찔합니다. 프응 유튜브 보다가 궁굼한게 생겼는데 우리나라에 목청꾼 코리아헌터 보면 말벌집으로 술담그시는 분들도 계시고 땅벌을 아주 아작을 내시는 분들도 계시던데 그래도 양봉장에 피해가 많나요? 우리나라는 특이하게 어디 좋으면 말벌이건 등검은말벌이건 전멸할거같아서요,0
그거생각난다 자연인이다에 양봉집 닌자 할아버지,0
알고리즘은 알수없네오ㅋㅋㅋㅋㅋ말벌 화형식에 날 초대하다니,0
꿀벌의 복수 너무너무 시원합니다,0
양봉 사업 번창하세요! 꿀벌을 사랑해주시고 지켜주셔서 감사합니다~,0
1000만 조희수 축하해요,0
심신안정 영상이다 이건...하...너무좋다...대리만족 지림,0
집에 들어온 꿀벌때문에 대처방법 찾다 이 채널 보게 됐는데 집에 있는 말벌스프레이를 써보고 싶은 마음이 간절해지고 있습니다(?) 물론 말벌이 첨부터 안 들어오는 게 최고지만,0
전설의 시작...,0
그래서 누가 불편해하는데,0
ㅋㅋㅋ와 멎지네요 ㅎㅎ영상진짜 사이다 영상이네요  전설의학살자 ㅋㅋ,0
2023년 다가오는 여름... 아주 시원한 영상 1위,0
와 곧 1000만 ㄷㄷ,0
와ㅠㅠㅠㅠ 고무장갑만 끼고 맨팔로......... 진짜 저였음 난리나여.........와ㅠㅠ 보는것만으로도 고통이다,0
말벌도 자연의 일부다 섭리다 왜 죽이냐 곤충학대 아니냐 하는 분들 논리대로면 세스코는 곤충학회나 관련 사회단체들 때문에 벌써 망했어야 됐습니다,0
말벌 오징어 게임 보고 알고리즘 인도를 받았습니다. 화끈하네요!,0
분노가 느껴집니다 정당한 분노죠,0
천만뷰 넘었네 ㅋㅋㅋㅋㅋㅋㅋㅋ축하드립니다,0
수능 3일전 후회없는 선택,0
이왕이면 시각적으로 불이 보이는 토치로 하면 더 짜릿하겠는데..ㅠ,0
오늘 새끼손가락 만한 큰 말벌을 보고 여기까지 오게 됐는데요.. 보통의 말벌과 제가 본 헤비급 말벌의 차이는 뭔가요??,0
전설의 시작....!,0
꿀벌들이 말벌 상대하는게 죽든 말든 계속 달라붙어 온도를 올려서 죽임 무는걸로는 피해를 줄수가 없음,0
처음부터 끝까지 나긋나긋하게 말씀하시고 말벌도 맛있게 구워주시네요. 좋은 힐링영상 감사합니다.,0
감사합니다,0
누군가 이 영상이 잔인하다고 말한다면 고개를 들어 자연인 말벌 아재를 보게 하라.,0
으악 영상인데도 무서워요  말벌 볼때 쫄앗음ㅎㅎ,0
경기 남양주 사는데 저희 이사온지 5년되거든요 4년째까진 말벌 본적도 없는데 5년째 되니까 검은등말벌 보입니다 저번에 저희 아파트 창문에 발집짓고 있길래 119불러서 처리했는데 그때 이후롤도 오늘 포함 2번이나 창문 열린 틈 통해서 들어오네요 게다가 오늘 보니 아파트 다른 쪽에다가 집 지은 것 같아요 한마리 들어와서 창문에 가둬두고 방충망 열어서 내보냈는데 여러마리가 밖에서 날고 있더라구요 ;; 경기도도 이미 진출한 것 같아요,0
영상초반에 장갑끼시는거 배신자 처단할 준비하는 조직두목같아요ㅠ 벌들 식은땀 흘렸을듯ㅋㅋㅋ,0
이 귀한걸.. 우리 우마님께 드렸으면 얼마나 맛나게 먹었을지... ㅠㅠ,0
300명의 목숨을 구했군요 말벌침은 사람을  위협하니까요,0
저안에 코밈님도 있었나요?ㅋㅋㅋ,0
아 됐고 이 영상이 불편하면 말벌한테 물려보던가 ㅋㅋㅋ,0
팔 팔 팔 팔 팔 팔 팔 팔 팔 전완근 마비오면 아무것도 못해요;; 안전에 신경좀 더 쓰셨으면 마음편히 잘 수 있을것 같슴다,0
모기 태우는 영상 보다가 알고리즘타고 말벌 태우는 영상까지 보러와버림ㅋㅋㅋㅋㅋㅋ,0
우리 꿀벌을 지켜주세요!!!,0
ㅠㅠㅠㅠㅠ벌을 너무 무서워하는데ㅠㅠㅠㅠㅠ 반팔 입으시고 말벌 상대하니 너무 대단하십니다....보는데 손에서 땀나요ㅠㅠㅠㅠ꿀벌이. 진짜 인류에 중요한 역할을 한다고는 익히 들었는데ㅠㅠ꿀벌 소중해ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0
레전드의 시작,0
경기북부에도 삼사년전부터 흑등말벌 많습니다  지금은 아마 휴전선까지 옮겼을거어요,0
“Yay!” Says Timmy as he burns thousands of hornets with 700 degree fire.,0
내가 이걸 왜 보게 된걸까...?,0
전설의시작,0
알고리듬의 흐름은 여기부터 시작,0
페북 보고왔습니더 첨엔 말벌 그냥 막 죽기시길래 와 왜저래 했는데 말벌이 꿀벌들 죽인게 어마어마 하길래 와 저사람 착한일 하는거구나 했습니다 홧팅!,0
YouTube recommendations are weird but sometimes the video is cool like this,0
같잖은 비비탄총으로 말벌집 부수는거보다 더 시원허네,0
장갑좀 다 끼시지 내가  다 불안하네ㅋㅋ,0
첨엔 몰랐는데 계속보니 그냥 살려 보내주는 것만 한 100마리는 될 듯.. 곧 말벌 시즌을 기대하고 있는데 이번엔 확실한 처리 부탁드립니다,0
다음엔 드라이어로 한번 해 봅시다. ^^,0
오늘 벌초하다 쏘여서 개빡쳤는데 이거보고 좀 풀렸네요,0
전국적으로 확대설치할 필요가 있어요,0
자연인중에 말벌만 하루종일 잡는 할아버지가 이해되는 영상이네요 ㅋㅋㅋㅋ,0
속이 다 시원하네요.백패킹의 최대 적 말벌과 뱀..,0
한국산 장수말벌은 벌도 한국산 성품을 가지고 있고 중국산 등검은말벌은 딱 중국스럽네요...,0
양봉하는 입장에서 을매나 열받았을 꼬..,0
형 천만뷰 거의 다왔다~!!!,0
빠삭빠삭하게 잘 꿉네요,0
멋지네요...,0
와~!노봉주~ 최고입니다~^^,0
말벌 불쌍하단 인간들 왜 살고있냐 니들 살면서 물 마시는데 그 안에 있는 미생물들은 안불쌍함..? 고기 먹는데 동물은 안불쌍하고..? 채식한다해도 식물은 안불쌍해..? 뭘 그리 불편해하셔들,0
아이디어 좋으시네요~그래도 조심하세요~,0
당신은 영웅입니다.,0
이게 전설의 시작이죠??,0
굿데이!!!!! 유툽!!!!,0
전문적으로 양봉하는건 아니고 예전 삼시세끼에서 한통 양봉했던 기억으로 한통 취미삼아 했는데..말벌 지키고있어야 했던 스트레스가 한방에 풀리네요,0
먹방보다 말벌토치정복을 보고있는 내가웃김ㅎ 꿀벌은 소중하죠,0
이얔ㅋㅋㅋㅋㅋ하시면서 쾌감쩔었을듯 진짜 말벌 하... 또 화나네,0
이때 굉장히 조곤조곤하셨네,0
말벌은 인간이 조절해줘야 할것같아요.천적이 없는데 꿀벌만 초토화시키니..ㅠ,0
말벌트렙 만들어 파셔도 좋을것 같습니다. 저는 양봉과는 먼 소시민이지만 하나 장만해서 말벌들 없애는데 기여하고 싶네요.,0
밤에 불꽃이 보이면 더 환상적일것 같습니다   토치를 스프레이랑 같이 뿌려 주면서 시원하게 구워 주면 예술일것 같습니다,0
4대 인간에게 피해주는 해충 1.모기 2.파리 3.바퀴벌레 4.말벌,0
내가 양봉 유튜버 영상을 재정주행을 하게 될줄이야,0
꿀벌 절대 지켜 ㅠㅜ,0
속이 다 시원하군요. 사람에게도 피해 주고 양봉들에게도 피해만 주는 말벌들 토치로 박멸하는 모습을 보니 두드러기가 낫는 느낌이군요~,0
말벌에 두방을 동시에 쏘여 응급실에 가본 사람으로 속이 후련하네요.,0
나왜 하나씩 정주행중인건데.....,0
뭔가 잔인한데 통쾌한건 왜일까요?ㅋㅋㅋ,0
분노와 복수의 쾌감이 교차 ㅋㅋ,0
과거 방방에 가기위해 지전거를 타려했지만 말벌이 잠령하고 있어서 결국 걸어갔던 제 원한를 풀어주셨군요,0
얼마전 말벌에 쒜었다가 죽다 살았는데.. 복수를 해준것 같아 내속이 다 시원하네,0
구우신거 땅에 버리실거면 빨간 가면 쓰신분을 부르시면 됩니다!,0
시원합니다. 화이팅 ^&^,0
궁금한게 있는데요. 트랩을 어느정도 벌집이랑 떨어져서 설치하면 안되나요? 벌들이 놀랄까봐요,0
직접 만드신건가요  진짜  머리 좋으시네요 ᆢ말벌을 다 없애시다  ᆢ조심하시길 ᆢ,0
야 말벌   .......cow fly   (담금주) 넣을께,0
리마스터 기념 원조맛집 방문,0
반팔... 미쳤습니까 휴먼?,0
다시보는 시점에서 이 영상이 다시 보고 싶다,0
1234만 뷰 축하드립니다,0
팔에 살결이 보이는데 안쏘이셨어ㅛ?? ㄷㄷ??,0
한국인들이 좋아하는 영상이네요.. 그나저나 열에 약하면 지구온난화로 벌이...ㅠ 얼마전 벌이 싹다 실종되었다는데... 사람도 이제 얼마못살고 죽겠네,0
벌침 쏘여도 안아프신가요? 저는 꿀벌만 와도 기겁하는데ㅋㅋ 대단대단,0
즉사할 줄 알았는데 의외로 꽤 버티네;; 생각보다 질기네요 무섭다,0
저희나라 표현 계속불편했는데 안그래도 바로잡아주셨네요,0
저런건 꿀 빼먹고 도움이 안되는것들이라서 한번씩 양봉집 사장님들이 분노의 영약 빨고 파이어벳 한부대 뽑아다가 나노강화제 주고 조져야됨,0
저희나라라는건 없어요 프응님 영상 겁나 자주봅니다 1000만 기념으로 또보러왔어요~,0
저 불쌍한 말벌이 불에 타 죽는모습을 보니 제 속이 다 시원하네요. 앞으로도 지속적인 화형식 부탁드립니다.,0
말벌 한마리만 벌통 들어가도 꿀벌들 전멸이니 분노에 찬 토치질 이해갑니다,0
정주행 시작,0
This man took “kill it with fire” literally and I’m here for it,0
빠꾸없는 그의 옷차림이랑 신발...,0
현직 소방관입니다. 말벌진짜 패즉이고싶어요. 그래서 프응님 채널에서 한 플고갑니다.,0
I learned alot from your commentary. I don’t know why foreign languages are so knowledgeable i watched a bunch of english videos killing hornets but this video gave the most info,0
반팔차림에서 고인물의 향기가..ㅋㅋㅋ  잘봤습니다 궁금한게 있는데 겨울철엔 다른일 하시나요??,0
이런게 장인정신이지ㅋㅋㅋㅋㅋ 누가 말벌을 저렇게 모아서 불쇼를 보여줘,0
준하형님이 군침 흘릴 영상이네,0
when a hornet has entered into this mans land.         so you have chosen death.,0
이게 첫영상이엇구나,0
좀비들이 나와도 좀비고 한때는 인간이니 인권을 보장해야 한다고 말할사람들ㅋㅋㅋ,0
그니까 그래서 누가불편해하는건데 대체 누구랑 싸우는건데 한두명도 아니고,0
말벌은 백해무익 내 속이 다 시원하다,0
정말 잔인하기 짝이 업고 덕분에 입가에 미소가 떠나질 않네여,0
양봉업자면 논란없이 끄덕끄덕..,0
우와 세상에 이런 잔인한 사람을  보았나 속이 다 시원하내  어이구 그놈 말벌들 싸그리 죽여 죽여~~ 우리집 사과밭에도 와서 사과를 엄청 파먹는데 대리 만족합니다,0
말벌이다타죽는 그날까지 응원합니당,0
When your english and have no idea what the comments say,0
엌ㅋㅋㅋㅋ 이거 또 떴어 ㅋㅋㅋ,0
고무장갑끼시고 손목은 시원하게 노출하신 저 대범함...,0
벌키우시는 분이구나. 착한 분노 인정합니다.,0
반팔도반팔이지만 팔에기어오르는거 그냥 아무렇지않게 꾹눌러죽이는거 진짜대박,0
요 영상으로 시작했다고 해서 한번 보러왔어요,0
영상은 더워보이지만 내마음은 시원하네,0
외래종 다 잡아주세요. 양봉 사업 번창하시길 기원합니다. 수고하세요.,0
구운 말벌 닭 모이로 주심 좋을것 같아요  토종닭 키워도  좋을것 같아요  잘보고 있습니다,0
